"town_order","town","zip_order_within_town","zip_code","dist_mi","median_household_income_usd","median_household_income_margin_of_error_usd","shared_zip_in_input","note","acs_period","income_year_basis","metric","census_table","census_variable","source_url"
"13","New Providence","1","07974","7","172894","10635","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"14","Millburn","1","07041","7","202750","15882","no","Added 2026-07-17. Millburn proper; Short Hills (07078) is the other half of Millburn Twp and is a separate ZCTA with its own income.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"15","Short Hills","1","07078","8","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"16","South Plainfield","1","07080","8","130205","8140","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"17","Warren","1","07059","8","212479","34496","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"18","Edison","1","08820","9","171363","13073","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"18","Edison","2","08817","9","110808","7253","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"18","Edison","3","08837","9","102605","7567","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"19","Green Brook","1","08812","9","118316","15815","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"20","Metuchen","1","08840","9","146635","13370","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"21","Woodbridge","1","07095","10","104926","12744","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"22","Gillette","1","07933","10","","","no","2026-07-17: this row was 'Long Hill' — the township was split into its three villages. Gillette is ZCTA 07933, which is what the ACS always measured; only the label changed.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"23","Stirling","1","07980","10","162955","51178","no","2026-07-17: this row was 'Long Hill' — the township was split into its three villages. Stirling is ZCTA 07980, which is what the ACS always measured; only the label changed.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"24","Maplewood","1","07040","11","173500","36582","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"25","South Orange","1","07079","11","195417","19355","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"26","Millington","1","07946","11","208587","43371","no","2026-07-17: this row was 'Long Hill' — the township was split into its three villages. Millington is ZCTA 07946, which is what the ACS always measured; only the label changed.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"27","Livingston","1","07039","12","229806","19424","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"28","Bridgewater","1","08807","13","168696","13528","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"29","Martinsville","1","08836","13","229726","25013","no","Added 2026-07-17. Martinsville is a section of Bridgewater Twp but has its own ZCTA (08836), so this is not Bridgewater's 08807 figure.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"30","West Orange","1","07052","13","129475","14311","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"31","Basking Ridge","1","07920","14","192857","17291","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"32","Glen Ridge","1","07028","14","247361","41035","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"33","Verona","1","07044","14","161843","15990","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"34","East Hanover","1","07936","15","149583","17373","no","Added 2026-07-17.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"35","Essex Fells","1","07021","15","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"36","Florham Park","1","07932","15","156458","18392","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"37","Montclair","1","07042","15","122847","9327","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"37","Montclair","2","07043","15","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"38","Roseland","1","07068","15","164458","33332","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"39","Caldwell","1","07006","16","149102","8817","yes","Shares 07006 with Caldwell and West Caldwell; income is ZIP/ZCTA-level, so this row has the same estimate as Caldwell.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"40","Cedar Grove","1","07009","16","151625","17495","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"41","North Caldwell","1","07006","16","149102","8817","yes","Shares 07006 with Caldwell and West Caldwell; income is ZIP/ZCTA-level, so this row has the same estimate as Caldwell.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"42","West Caldwell","1","07006","16","149102","8817","yes","Added 2026-07-17. Shares ZCTA 07006 with Caldwell, North Caldwell, so this is the SAME ACS figure as theirs — one ZCTA, one median. It is not an independent measurement of West Caldwell.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"43","Bedminster","1","07921","17","123104","10573","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"44","Chatham","1","07928","17","220982","22182","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"45","Madison","1","07940","17","172708","19409","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"46","Nutley","1","07110","17","119646","7827","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"47","Branchburg","1","08876","18","122884","7527","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"48","Morristown","1","07960","19","160334","8522","yes","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"49","Morris Township","1","07960","19","160334","8522","yes","Added 2026-07-17. Shares ZCTA 07960 with Morristown, so this is the SAME ACS figure as theirs — one ZCTA, one median. It is not an independent measurement of Morris Township.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"50","Bernardsville","1","07924","19","236042","32935","no","Added 2026-07-17.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"51","Cedar Knolls","1","07927","20","170400","38419","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"52","Morris Plains","1","07950","21","153762","4189","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"53","Denville","1","07834","22","156902","17313","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"54","Glen Rock","1","07452","22","215096","18218","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"55","Mendham","1","07945","22","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"56","Boonton","1","07005","23","132629","13206","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"57","Montville","1","07045","23","185078","47119","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"58","Mountain Lakes","1","07046","23","250001","","no","Added 2026-07-17. Estimate is TOP-CODED: ACS caps median household income at $250,001 (= '$250,000 or more'), and the source MOE was the -333333333 'not applicable' sentinel, so it is left blank — the same treatment as Short Hills / Essex Fells / Montclair 07043 / Mendham. The true median is unknown and >= $250,000.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"59","Franklin Lakes","1","07417","24","236023","26399","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"60","Towaco","1","07082","25","205023","64896","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"61","Randolph","1","07869","25","169497","13265","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"62","Chester","1","07930","26","240954","17625","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"63","Long Valley","1","07853","29","175792","23066","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
